  68, 133,  32,            99694.00,           102391.06
  68, 131,   2,             1035.00,            34410.53
  68, 256,  28,            55980.00,            57709.97
  68, 121,   2,                3.00,            10757.72
  68, 110,   2,             4284.00,           168066.09
  68, 106,  12,          2080661.00,          2287168.47
  68, 105,   3,            43259.00,            86051.56
  68, 104,   4,            28353.00,            28837.22
  68,  99,   2,              490.00,             1146.22
  68,  90,  27,            28750.00,            29453.12
  68,  84,  10,           178601.00,           189153.56
  68,  81,   7,            72190.00,            78814.88
  68,  74,  33,            89584.00,            89584.00
  68,  59,   8,          2161097.00,          2275509.69
  68,  56,   1,                0.00,                0.00
  68,  50,  21,            87618.00,            88316.25
  68,  49,  13,           296332.00,           300445.50
  68, 107,  33,           538903.00,           554905.00
  68,  46,  28,            65950.00,            67197.94
  68,  32,  26,           297677.00,           307238.28
  68,  35,  33,            19350.00,            19350.00
  68, 233,  32,            48875.00,            49333.59
  68,  21,   2,               43.00,           172083.50
  68,  53,  33,             8580.00,             8580.00
  68, 255,  18,          1716210.00,          1767701.44
  68,   1,   2,             2995.00,             8043.69
  68,   4,  28,          4177491.00,          4226822.16
  68,   3,   7,            49152.00,            49198.12
  68,   2,   2,              326.00,             1448.94
  79, 181,  29,            19000.00,            19060.12
  79, 249,   3,           135894.00,           172379.81
  79, 215,   5,            74777.00,            91154.75
  79, 225,   8,           200661.00,           204604.31
  79, 226,   5,            14000.00,            18222.25
  79, 223,   3,           124274.00,           137575.81
  79, 217,   6,             9000.00,            10708.12
  79, 211,  14,           112243.00,           117618.31
  79, 206,  10,           471075.00,           471380.06
  79, 203,   3,           162929.00,           280465.06
  79, 202,  17,           679960.00,           717928.00
  79, 198,   4,             5847.00,             8585.16
  79, 194,  12,           563100.00,           591725.75
  79, 117,   2,            52250.00,           133624.28
  79, 174,   3,            69054.00,            80073.19
  79, 221,  11,           114838.00,           121889.06
  79, 162,  19,           199274.00,           201110.06
  79, 159,   2,            29700.00,           122366.34
  79, 150,  14,          1737328.00,          1833538.28
  79, 147,   9,             7000.00,             7677.75
  79, 144,   9,           125649.00,           131316.75
  79, 143,   2,            77736.00,           105714.50
  79, 134,  15,            11940.00,            12162.94
  79, 131,   1,                0.00,                0.00
  79, 130,  11,            16500.00,            16875.00
  79, 256,   7,            12374.00,            12824.44
  79, 118,   2,                1.00,             9012.78
  79, 114,   4,            55760.00,            68615.34
  79, 112,  11,           230886.00,           248493.44
  79, 110,   2,               53.00,           168066.09
  79, 106,   4,           561684.00,           623773.22
  79, 105,   3,            69628.00,            86051.56
  79, 104,   4,            25242.00,            28837.22
  79, 102,   5,            63869.00,            65874.50
  79,  99,   9,             8268.00,             9169.75
  79,  84,   4,            50020.00,            63051.19
  79,  81,   2,             8300.00,            13135.81
  79,  73,   2,               20.00,            12490.53
  79,  59,   2,           120750.00,           323447.87
  79,  56,   1,                0.00,                0.00
  79,  50,   2,                3.00,             4415.81
  79,  49,   5,            82563.00,           100148.50
  79, 351,   1,                0.00,                0.00
  79,  32,   2,             7750.00,            12289.53
  79, 255,  11,           942227.00,          1039824.38
  79,  16,   3,           104930.00,           189012.56
  79,  52,   2,              138.00,             3896.84
  79,   1,   1,                0.00,                0.00
  79,   4,   2,            26000.00,           156548.97
  97, 223,   2,            22456.96,            24786.82
  97, 154,   5,             7858.95,             9155.00
  97, 211,   2,             2913.21,             9047.56
  97, 207,   2,               30.75,               68.38
  97, 203,   2,             2447.66,            24786.82
  97, 198,  18,            46475.99,            48649.22
  97, 150,   2,            20452.09,            24786.82
  97, 141,   2,               45.51,             1754.75
  97, 106,  18,           414782.15,           421375.88
  97, 105,   3,            28801.19,            49573.63
  97,  84,   7,           111402.89,           126102.38
  97,  73,   1,                0.00,                0.00
  97,  50,   3,             4831.97,             8831.62
  97,  80,  14,           127396.31,           130596.38
  97,   3,   2,             3282.81,             8199.69
  98, 223,   2,             2042.02,             5262.94
  98, 222,   4,            14503.34,            15788.83
  98, 154,   5,             7224.01,             9155.00
  98, 211,   2,              170.38,             5262.94
  98, 198,   2,              716.49,             2861.72
  98, 106,  17,            80499.14,            84207.07
  98,  95,   2,              724.75,             5262.94
  98,  84,   3,             9723.14,            10525.88
  98,  80,   9,            37778.10,            42103.54
  98,   3,   4,            15032.92,            15788.83
 119, 249,   4,            19501.00,            21576.79
 119, 215,   4,            20240.56,            21576.79
 119, 223,   3,             9992.69,            14384.52
 119, 203,  12,            77447.21,            79114.89
 119, 197,   4,              839.47,             1197.84
 119, 194,   4,            21379.41,            21576.79
 119, 162,   3,             8882.06,            14384.52
 119, 159,   2,             2318.58,             7192.26
 119, 150,   4,            17778.60,            21576.79
 119, 144,   3,             9366.05,            14384.52
 119, 143,   2,             2510.99,             7192.26
 119, 106,   4,            15654.66,            21576.79
 119, 104,   2,             1202.00,             7192.26
 119, 101,   3,            10522.00,            14384.52
 119, 238,   3,             9861.19,            14384.52
 119, 255,   2,             2655.85,             7192.26
 126, 215,   4,            11130.68,            16065.52
 126, 223,   8,            32858.92,            37486.22
 126, 216,   2,              139.11,             5355.17
 126, 203,   4,            12313.56,            16065.52
 126, 202,   2,             3669.33,             5355.17
 126, 197,   2,              380.18,              399.28
 126, 194,  16,            77419.09,            80327.62
 126, 174,   2,             2912.13,             5355.17
 126, 162,   2,             3377.86,             5355.17
 126, 159,   2,             4020.71,             5355.17
 126, 150,   2,             3808.44,             5355.17
 126, 144,   4,            13687.69,            16065.52
 126, 114,   2,             2362.60,             5355.17
 126, 104,   1,                0.00,                0.00
 126, 101,   2,               59.33,             5355.17
 126, 255,   2,             3226.07,             5355.17
 146, 237,   2,             1642.00,             6039.48
 146, 223,   5,            21384.00,            24157.94
 146, 211,   3,             9503.00,            12078.97
 146, 166,   3,             7254.00,             8612.75
 146, 121,   3,             6179.00,            12078.97
 146, 106,   4,            14692.00,            18118.45
 146,  84,   4,            12773.00,            18118.45
 146,  59,   3,            10525.00,            12078.97
 146,   3,   4,            12441.00,            18118.45
 167, 211,   5,             4320.00,             4837.72
 167, 198,   2,              132.00,             1209.43
 167, 150,   4,             2600.00,             3628.29
 167, 106,   7,             6977.00,             7256.58
 169, 249,   4,            10074.36,            14845.88
 169, 215,   2,             2977.06,             4948.63
 169, 225,   3,             8144.36,             9897.25
 169, 226,   2,             3132.62,             4555.56
 169, 223,   3,             5851.58,             9897.25
 169,  38,   2,              305.62,             4948.63
 169, 184,   3,              916.86,              932.81
 169, 143,   3,             9233.90,             9897.25
 169, 133,   2,              534.84,             3302.94
 169, 114,   2,             4249.52,             4948.63
 169,  44,   3,             8247.50,             9897.25
 169,  32,   2,             1529.64,             4948.63
 169, 233,   2,              313.26,             1591.41
 169,  21,  21,            98856.66,            98972.54
 169,   4,   2,             3988.51,             4948.63
 173, 237,   2,              523.00,            48117.46
 173, 211,   2,                9.00,             9047.56
 173, 203,   3,            62026.00,            96234.92
 173, 174,   2,             5870.00,            40036.59
 173, 162,   6,            47491.00,            55863.91
 173, 159,   2,            20854.00,            48117.46
 173, 150,   2,            16354.00,            48117.46
 173, 143,   2,            35211.00,            48117.46
 173, 106,   2,              541.00,            48117.46
 173, 104,   2,                3.00,             9612.41
 173,  59,   3,            61010.00,            96234.92
 173,  49,   3,            25300.00,            50074.25
 173,  21,   2,            33000.00,            48117.46
 173, 255,   2,              690.00,            48117.46
 173,  16,   2,            27340.00,            48117.46
 185, 249,   6,           400844.00,           430949.53
 185, 237,   2,            11475.00,            55877.53
 185, 235,  30,             1987.00,             2018.22
