solution 324,  592,                    1.957,                   10.169,
solution 325,  594,                    1.974,                   10.153,
solution 326,  592,                    2.731,                    9.399,
solution 327,  593,                    3.793,                    8.339,
solution 328,  592,                    2.780,                    9.350,
solution 329,  588,                   16.125,                    1.967,
solution 330,  590,                    2.907,                    9.225,
solution 331,  591,                    3.334,                    8.798,
solution 332,  594,                    3.135,                    9.001,
solution 333,  593,                    2.593,                    9.535,
solution 334,  593,                    3.237,                    8.895,
solution 335,  588,                    3.588,                    8.549,
solution 336,  594,                    2.633,                    9.498,
solution 337,  591,                   16.149,                    1.941,
solution 338,  586,                    8.293,                    5.293,
solution 339,  593,                    8.929,                    5.215,
solution 340,  598,                    2.435,                    9.692,
solution 341,  588,                    8.882,                    5.254,
solution 342,  593,                    2.894,                    9.234,
solution 343,  593,                    1.797,                   10.326,
solution 344,  595,                    3.156,                    8.978,
solution 345,  591,                   16.176,                    1.914,
solution 346,  591,                    8.998,                    5.141,
solution 347,  595,                    1.962,                   10.158,
solution 348,  594,                    1.786,                   10.341,
solution 349,  588,                    9.731,                    4.872,
solution 350,  591,                   16.192,                    1.898,
solution 351,  595,                    3.024,                    9.102,
solution 352,  590,                   16.140,                    1.952,
solution 353,  589,                    9.823,                    4.752,
solution 354,  592,                    3.061,                    9.065,
solution 355,  596,                    2.503,                    9.622,
solution 356,  592,                    3.089,                    9.048,
solution 357,  595,                    3.036,                    9.095,
solution 358,  593,                   16.205,                    1.884,
solution 359,  591,                    2.916,                    9.216,
solution 360,  593,                   16.236,                    1.856,
solution 361,  595,                    2.841,                    9.285,
solution 362,  594,                    2.946,                    9.183,
solution 363,  595,                    1.795,                   10.329,
solution 364,  595,                    2.832,                    9.298,
solution 365,  594,                    2.833,                    9.296,
solution 366,  593,                    2.517,                    9.607,
solution 367,  594,                    2.133,                    9.994,
solution 368,  596,                    2.848,                    9.281,
solution 369,  596,                    1.787,                   10.337,
solution 370,  596,                    2.605,                    9.521,
solution 371,  592,                    3.269,                    8.867,
solution 372,  592,                    8.895,                    5.249,
solution 373,  594,                   16.161,                    1.927,
solution 374,  590,                   16.253,                    1.837,
solution 375,  592,                   16.145,                    1.945,
solution 376,  591,                   16.259,                    1.830,
solution 377,  596,                    2.722,                    9.401,
solution 378,  594,                    3.164,                    8.963,
solution 379,  591,                   16.180,                    1.909,
solution 380,  598,                    3.803,                    8.327,
solution 381,  590,                   16.216,                    1.873,
solution 382,  590,                   16.142,                    1.948,
solution 383,  595,                    8.952,                    5.209,
solution 384,  597,                    2.050,                   10.075,
solution 385,  596,                    2.304,                    9.821,
solution 386,  593,                   16.185,                    1.906,
solution 387,  589,                   16.124,                    1.967,
solution 388,  591,                   16.170,                    1.920,
solution 389,  595,                    1.826,                   10.300,
solution 390,  596,                    2.479,                    9.646,
solution 391,  590,                   16.171,                    1.920,
solution 392,  595,                    2.693,                    9.442,
solution 393,  598,                    2.307,                    9.814,
solution 394,  592,                   16.123,                    1.968,
solution 395,  590,                   16.156,                    1.935,
solution 396,  591,                   16.209,                    1.882,
solution 397,  594,                    3.200,                    8.926,
solution 398,  596,                    2.651,                    9.470,
solution 399,  594,                    2.085,                   10.041,
solution 400,  590,                   16.173,                    1.919,
solution 401,  590,                   16.228,                    1.862,
solution 402,  595,                    3.618,                    8.509,
solution 403,  590,                   16.217,                    1.873,
solution 404,  587,                   16.203,                    1.888,
solution 405,  590,                   16.226,                    1.865,
solution 406,  594,                    2.628,                    9.498,
solution 407,  591,                   16.220,                    1.869,
solution 408,  592,                    4.116,                    8.018,
solution 409,  592,                   16.134,                    1.953,
solution 410,  599,                    3.176,                    8.952,
solution 411,  594,                    2.864,                    9.265,
solution 412,  594,                    2.908,                    9.224,
solution 413,  596,                    1.951,                   10.170,
solution 414,  597,                    2.538,                    9.590,
solution 415,  597,                    2.474,                    9.655,
solution 416,  591,                   16.144,                    1.947,
solution 417,  597,                    2.830,                    9.301,
solution 418,  590,                   16.121,                    1.970,
solution 419,  593,                   16.229,                    1.859,
solution 420,  596,                    2.442,                    9.687,
solution 421,  594,                    2.124,                   10.002,
solution 422,  591,                   16.159,                    1.930,
solution 423,  597,                    1.823,                   10.300,
solution 424,  595,                    2.595,                    9.534,
solution 425,  597,                    3.242,                    8.887,
solution 426,  596,                    3.211,                    8.920,
solution 427,  586,                   10.001,                    4.528,
solution 428,  597,                    2.427,                    9.702,
solution 429,  591,                   16.126,                    1.965,
solution 430,  589,                   16.204,                    1.888,
solution 431,  590,                   16.187,                    1.899,
solution 432,  593,                   16.227,                    1.864,
solution 433,  596,                    2.005,                   10.118,
solution 434,  595,                    2.447,                    9.682,
solution 435,  598,                    1.999,                   10.124,
solution 436,  598,                    2.684,                    9.444,
solution 437,  590,                   16.196,                    1.895,
solution 438,  592,                    8.896,                    5.241,
solution 439,  595,                    2.776,                    9.355,
solution 440,  595,                    2.703,                    9.428,
solution 441,  596,                    2.463,                    9.660,
solution 442,  596,                    2.477,                    9.654,
solution 443,  594,                    3.186,                    8.946,
solution 444,  591,                    3.957,                    8.179,
solution 445,  592,                   16.200,                    1.892,
solution 446,  595,                    2.880,                    9.245,
solution 447,  593,                    2.680,                    9.452,
solution 448,  594,                    2.638,                    9.495,
solution 449,  595,                    2.451,                    9.674,
solution 450,  593,                    2.901,                    9.229,
solution 451,  590,                    3.138,                    8.991,
solution 452,  596,                    2.090,                   10.038,
solution 453,  596,                    2.710,                    9.423,
solution 454,  593,                   16.153,                    1.937,
solution 455,  597,                    2.694,                    9.434,
solution 456,  597,                    2.432,                    9.699,
solution 457,  590,                   16.175,                    1.916,
solution 458,  596,                    2.454,                    9.673,
solution 459,  598,                    1.793,                   10.336,
solution 460,  596,                    2.545,                    9.584,
solution 461,  597,                    3.074,                    9.058,
solution 462,  597,                    3.035,                    9.097,
solution 463,  595,                    3.433,                    8.700,
solution 464,  598,                    2.989,                    9.137,
solution 465,  597,                    2.936,                    9.190,
solution 466,  593,                    2.792,                    9.342,
solution 467,  592,                   16.210,                    1.881,
solution 468,  597,                    2.870,                    9.261,
solution 469,  595,                    2.955,                    9.177,
solution 470,  593,                   16.178,                    1.913,
solution 471,  595,                    2.458,                    9.670,
solution 472,  595,                    2.082,                   10.045,
solution 473,  591,                   16.168,                    1.923,
solution 474,  595,                    2.319,                    9.810,
solution 475,  590,                   16.163,                    1.927,
solution 476,  597,                    2.793,                    9.338,
solution 477,  597,                    1.978,                   10.145,
solution 478,  592,                    3.314,                    8.815,
solution 479,  591,                   16.167,                    1.924,
solution 480,  597,                    3.247,                    8.883,
solution 481,  596,                    2.715,                    9.416,
solution 482,  591,                   16.235,                    1.857,
solution 483,  596,                    1.784,                   10.342,
solution 484,  597,                    4.339,                    7.784,
solution 485,  598,                    3.394,                    8.729,
solution 486,  596,                    3.537,                    8.596,
solution 487,  595,                    2.978,                    9.156,
solution 488,  597,                    2.849,                    9.277,
solution 489,  592,                   16.284,                    1.805,
solution 490,  598,                    2.471,                    9.659,
solution 491,  596,                    3.007,                    9.126,
solution 492,  591,                    9.136,                    5.006,
solution 493,  594,                    2.130,                    9.997,
solution 494,  595,                    2.860,                    9.269,
solution 495,  595,                    8.854,                    5.283,
solution 496,  590,                    8.013,                    5.362,
solution 497,  596,                    1.984,                   10.142,
solution 498,  594,                    2.502,                    9.625,
solution 499,  593,                    2.422,                    9.706,
solution 500,  597,                    2.532,                    9.597,
solution 501,  594,                    2.678,                    9.456,
solution 502,  595,                    2.925,                    9.208,
solution 503,  592,                   16.158,                    1.932,
solution 504,  597,                    1.948,                   10.177,
solution 505,  594,                    2.668,                    9.464,
solution 506,  589,                   16.141,                    1.951,
solution 507,  595,                    2.083,                   10.044,
solution 508,  596,                    2.645,                    9.487,
solution 509,  596,                    2.264,                    9.863,
solution 510,  596,                    2.510,                    9.617,
solution 511,  595,                    2.960,                    9.172,
solution 512,  594,                    2.428,                    9.700,
solution 513,  595,                    2.266,                    9.861,
solution 514,  590,                   16.122,                    1.969,
solution 515,  594,                    2.983,                    9.153,
solution 516,  594,                    3.032,                    9.102,
solution 517,  595,                    3.183,                    8.951,
solution 518,  591,                    9.896,                    4.566,
solution 519,  593,                   16.202,                    1.889,
solution 520,  594,                    3.392,                    8.742,
solution 521,  595,                    1.975,                   10.151,
solution 522,  593,                    3.546,                    8.586,
solution 523,  596,                    3.331,                    8.799,
solution 524,  593,                    2.921,                    9.215,
solution 525,  597,                    2.544,                    9.588,
solution 526,  596,                    2.599,                    9.530,
solution 527,  594,                    3.462,                    8.672,
solution 528,  596,                    3.017,                    9.111,
solution 529,  596,                    3.468,                    8.664,
solution 530,  594,                    3.351,                    8.784,
solution 531,  596,                    1.952,                   10.170,
solution 532,  595,                    3.220,                    8.912,
solution 533,  596,                    3.414,                    8.721,
solution 534,  597,                    3.001,                    9.130,
solution 535,  593,                    2.649,                    9.479,
solution 536,  597,                    2.492,                    9.639,
solution 537,  591,                   16.164,                    1.925,
solution 538,  592,                    7.160,                    5.666,
solution 539,  594,                    2.891,                    9.244,
solution 540,  594,                    3.310,                    8.820,
solution 541,  591,                   16.157,                    1.935,
solution 542,  594,                    3.057,                    9.078,
solution 543,  595,                    3.114,                    9.019,
solution 544,  596,                    3.526,                    8.605,
solution 545,  594,                    3.480,                    8.655,
solution 546,  595,                    2.765,                    9.365,
solution 547,  594,                    3.224,                    8.910,
solution 548,  593,                    2.779,                    9.354,
solution 549,  595,                    2.814,                    9.315,
solution 550,  594,                    3.679,                    8.453,
solution 551,  594,                    3.577,                    8.556,
solution 552,  596,                    2.081,                   10.051,
solution 553,  595,                    2.741,                    9.387,
solution 554,  594,                    3.763,                    8.368,
solution 555,  595,                    4.018,                    8.113,
solution 556,  595,                    2.547,                    9.583,
solution 557,  593,                    2.748,                    9.385,
solution 558,  594,                    2.797,                    9.335,
solution 559,  594,                    3.033,                    9.100,
solution 560,  594,                    2.543,                    9.589,
solution 561,  597,                    1.961,                   10.168,
solution 562,  595,                    3.271,                    8.862,
solution 563,  594,                    2.664,                    9.469,
solution 564,  595,                    2.529,                    9.603,
solution 565,  594,                    2.683,                    9.447,
solution 566,  595,                    2.489,                    9.641,
solution 567,  595,                    2.986,                    9.145,
solution 568,  595,                    3.255,                    8.877,
solution 569,  596,                    2.263,                    9.866,
solution 570,  593,                    3.197,                    8.939,
solution 571,  594,                    3.388,                    8.746,
solution 572,  594,                    2.859,                    9.276,
solution 573,  594,                    3.719,                    8.416,
solution 574,  595,                    2.961,                    9.172,
solution 575,  596,                    3.755,                    8.375,
solution 576,  594,                    3.077,                    9.056,
solution 577,  597,                    1.791,                   10.336,
solution 578,  595,                    2.988,                    9.142,
solution 579,  593,                    2.707,                    9.427,
solution 580,  593,                    2.809,                    9.324,
solution 581,  594,                    3.264,                    8.869,
solution 582,  595,                    2.077,                   10.053,
solution 583,  588,                    9.690,                    4.887,
solution 584,  592,                    3.442,                    8.691,
solution 585,  596,                    2.536,                    9.593,
solution 586,  590,                    7.849,                    5.472,
solution 587,  594,                    2.866,                    9.265,
solution 588,  595,                    2.975,                    9.158,
solution 589,  594,                    3.218,                    8.912,
solution 590,  595,                    2.647,                    9.484,
solution 591,  594,                    4.015,                    8.118,
solution 592,  592,                    8.920,                    5.220,
solution 593,  595,                    3.154,                    8.981,
solution 594,  596,                    3.141,                    8.990,
solution 595,  596,                    2.497,                    9.633,
solution 596,  595,                    3.106,                    9.026,
solution 597,  593,                    3.253,                    8.880,
solution 598,  594,                    2.775,                    9.358,
solution 599,  594,                    2.666,                    9.464,
solution 600,  592,                    2.761,                    9.372,
solution 601,  595,                    2.900,                    9.233,
solution 602,  595,                    2.968,                    9.162,
solution 603,  586,                   14.387,                    2.343,
solution 604,  586,                   13.942,                    2.805,
solution 605,  586,                   15.013,                    1.972,
solution 606,  586,                   14.349,                    2.415,
solution 607,  590,                   14.330,                    2.421,
solution 608,  585,                   14.215,                    2.495,
solution 609,  584,                   14.696,                    2.091,
solution 610,  587,                   14.688,                    2.128,
solution 611,  586,                   14.833,                    2.043,
solution 612,  585,                   14.862,                    2.039,
solution 613,  587,                   14.686,                    2.129,
solution 614,  587,                   14.446,                    2.252,
solution 615,  584,                   14.370,                    2.391,
solution 616,  588,                   13.968,                    2.745,
solution 617,  588,                   14.752,                    2.064,
solution 618,  588,                   14.678,                    2.137,
solution 619,  586,                   14.372,                    2.346,
solution 620,  587,                   14.745,                    2.067,
solution 621,  584,                   14.138,                    2.609,
solution 622,  585,                   14.685,                    2.130,
